Kernel,Mean Entropy,q1 Entropy,q2 Entropy
gaussian,1.427134346087246,1.4227353302969408,1.431377916447176
tophat,1.4197739167166497,1.415660182816062,1.4244497264451992
epanechnikov,1.4172486521869785,1.41252218759729,1.4217982691999276
exponential,1.4374641823707122,1.433748542168864,1.4415733030098363
linear,1.4172177628348523,1.4136540524425634,1.4209342888741132
cosine,1.417807406681491,1.413618164069404,1.4223641299986691
